rank,candidate_id,verdict,quality_score,reasoning
1,CAND_0005260,CLEAN,0.923839,"Senior NLP Engineer | 5.2yrs; Yellow.ai, Netflix; retrieval:1.00 prodML:1.00 pedigree:1.00; RRR:86% GH:-1; skills:[Information Retrieval, Semantic Search, RAG]"
2,CAND_0005649,CLEAN,0.922254,"Senior Data Scientist | 7.4yrs; Amazon, Sarvam AI; retrieval:1.00 prodML:1.00 pedigree:0.95; RRR:57% GH:81; skills:[Recommendation Systems, Semantic Search, Weaviate]"
3,CAND_0068811,CLEAN,0.920632,"Applied ML Engineer | 8.0yrs; Salesforce, Freshworks, Meesho; retrieval:1.00 prodML:1.00 pedigree:1.00; RRR:42% GH:23; skills:[Vector Search, Qdrant, Pinecone]"
4,CAND_0043228,CLEAN,0.907282,"Applied ML Engineer | 6.8yrs; Zoho, Yellow.ai; retrieval:1.00 prodML:0.88 pedigree:1.00; RRR:41% GH:48; skills:[Vector Search, Weaviate, OpenSearch]"
5,CAND_0039838,CLEAN,0.902777,"Recommendation Systems Engineer | 4.9yrs; Amazon, Microsoft; retrieval:0.95 prodML:1.00 pedigree:1.00; RRR:80% GH:36; skills:[Semantic Search, RAG, Milvus]"
6,CAND_0027691,CLEAN,0.896036,"NLP Engineer | 6.5yrs; Meta, Haptik; retrieval:0.93 prodML:1.00 pedigree:1.00; RRR:68% GH:58; skills:[Recommendation Systems, Weaviate, Semantic Search]"
7,CAND_0006418,CLEAN,0.894053,"Machine Learning Engineer | 5.7yrs; Verloop.io, Flipkart; retrieval:0.93 prodML:0.88 pedigree:1.00; RRR:92% GH:60; skills:[Semantic Search, Weaviate, Elasticsearch]"
8,CAND_0011162,CLEAN,0.887112,"Recommendation Systems Engineer | 5.8yrs; Meesho, Google; retrieval:1.00 prodML:0.88 pedigree:1.00; RRR:75% GH:34; skills:[FAISS, Vector Search, Milvus]"
9,CAND_0016163,CLEAN,0.884788,"Applied ML Engineer | 6.7yrs; Amazon, Dream11, Verloop.io; retrieval:1.00 prodML:0.75 pedigree:1.00; RRR:72% GH:95; skills:[Weaviate, Pinecone]"
10,CAND_0058575,CLEAN,0.881936,"AI Engineer | 5.8yrs; Uber, Krutrim; retrieval:0.93 prodML:1.00 pedigree:1.00; RRR:69% GH:35; skills:[Recommendation Systems, Pinecone]"
11,CAND_0077285,CLEAN,0.870780,"Recommendation Systems Engineer | 5.5yrs; Nykaa, Netflix; retrieval:0.87 prodML:1.00 pedigree:1.00; RRR:56% GH:76; skills:[Pinecone, Information Retrieval, Milvus]"
12,CAND_0086022,CLEAN,0.870228,"Senior Applied Scientist | 5.3yrs; Uber, Sarvam AI; retrieval:1.00 prodML:0.75 pedigree:1.00; RRR:55% GH:75; skills:[Vector Search, Recommendation Systems, Elasticsearch]"
13,CAND_0015528,CLEAN,0.869781,"Applied ML Engineer | 7.4yrs; Rephrase.ai, Krutrim; retrieval:0.85 prodML:1.00 pedigree:1.00; RRR:53% GH:51; skills:[Weaviate, Information Retrieval, OpenSearch]"
14,CAND_0076831,CLEAN,0.862909,"Search Engineer | 4.0yrs; Zomato, Krutrim; retrieval:0.95 prodML:1.00 pedigree:1.00; RRR:50% GH:47; skills:[Milvus, BM25, Weaviate]"
15,CAND_0081053,CLEAN,0.859298,"NLP Engineer | 5.4yrs; Salesforce; retrieval:0.85 prodML:1.00 pedigree:0.92; RRR:83% GH:78; skills:[Qdrant, Semantic Search, Weaviate]"
16,CAND_0095528,CLEAN,0.856758,"Senior Data Scientist | 5.3yrs; Netflix; retrieval:1.00 prodML:1.00 pedigree:0.73; RRR:55% GH:-1; skills:[OpenSearch, Semantic Search, Vector Search]"
17,CAND_0033861,CLEAN,0.856463,"Senior NLP Engineer | 8.0yrs; Paytm, Sarvam AI; retrieval:1.00 prodML:0.75 pedigree:0.96; RRR:16% GH:33; skills:[Weaviate, Elasticsearch, Pinecone]"
18,CAND_0058688,CLEAN,0.853419,"AI Engineer | 6.7yrs; Apple; retrieval:0.77 prodML:1.00 pedigree:1.00; RRR:74% GH:39; skills:[Information Retrieval, Milvus, Semantic Search]"
19,CAND_0022812,CLEAN,0.850176,"Applied ML Engineer | 4.5yrs; Dream11, Razorpay; retrieval:0.85 prodML:1.00 pedigree:1.00; RRR:79% GH:-1; skills:[Weaviate, Pinecone, Qdrant]"
20,CAND_0010685,CLEAN,0.849874,"NLP Engineer | 6.7yrs; Rephrase.ai, Microsoft; retrieval:1.00 prodML:0.88 pedigree:0.82; RRR:83% GH:-1; skills:[Information Retrieval, Elasticsearch, RAG]"
21,CAND_0076251,CLEAN,0.846444,"Search Engineer | 7.6yrs; Microsoft, CRED, Haptik; retrieval:1.00 prodML:0.75 pedigree:1.00; RRR:51% GH:-1; skills:[Weaviate, Elasticsearch, Semantic Search]"
22,CAND_0045250,CLEAN,0.844289,"Applied ML Engineer | 6.6yrs; Rephrase.ai, Paytm; retrieval:0.77 prodML:1.00 pedigree:1.00; RRR:74% GH:-1; skills:[Milvus, Vector Search, BM25]"
23,CAND_0044855,CLEAN,0.839334,"Senior Data Scientist | 6.6yrs; LinkedIn, Flipkart, Verloop.io; retrieval:1.00 prodML:0.50 pedigree:1.00; RRR:57% GH:47; skills:[OpenSearch, Information Retrieval, Pinecone]"
24,CAND_0075249,CLEAN,0.834165,"Applied ML Engineer | 6.2yrs; Zomato; retrieval:1.00 prodML:0.62 pedigree:1.00; RRR:82% GH:37; skills:[Milvus, BM25, Pinecone]"
25,CAND_0083307,CLEAN,0.833287,"Search Engineer | 7.8yrs; Ola, CRED, Netflix; retrieval:1.00 prodML:0.50 pedigree:1.00; RRR:70% GH:69; skills:[Pinecone, Weaviate, Semantic Search]"
26,CAND_0098846,CLEAN,0.832550,"AI Engineer | 7.6yrs; Meesho, Google, Swiggy; retrieval:0.68 prodML:1.00 pedigree:1.00; RRR:62% GH:86; skills:[Qdrant, Recommendation Systems]"
27,CAND_0065195,CLEAN,0.826723,Search Engineer | 5.1yrs; ensemble score; RRR:80% GH:87
28,CAND_0052328,CLEAN,0.826583,"Recommendation Systems Engineer | 6.5yrs; Amazon; retrieval:0.87 prodML:0.75 pedigree:0.95; RRR:79% GH:78; skills:[OpenSearch, Recommendation Systems, Vector Search]"
29,CAND_0079387,CLEAN,0.823423,AI Engineer | 6.9yrs; ensemble score; RRR:81% GH:64
30,CAND_0094056,CLEAN,0.821057,"NLP Engineer | 5.9yrs; Rephrase.ai; retrieval:1.00 prodML:0.75 pedigree:0.72; RRR:82% GH:65; skills:[Pinecone, Milvus, BM25]"
31,CAND_0010603,CLEAN,0.820123,ML Engineer | 5.3yrs; ensemble score; RRR:94% GH:79
32,CAND_0042506,CLEAN,0.819695,"Search Engineer | 4.2yrs; Verloop.io, Meesho; retrieval:1.00 prodML:0.50 pedigree:1.00; RRR:48% GH:64; skills:[Semantic Search, Information Retrieval, Milvus]"
33,CAND_0061265,CLEAN,0.819163,"Recommendation Systems Engineer | 6.6yrs; Paytm, Zoho; retrieval:1.00 prodML:0.75 pedigree:0.75; RRR:94% GH:80; skills:[Qdrant, Vector Search, Milvus]"
